"filename", "language", "Java", "Shell Script", "XML", "Markdown", "comment", "blank", "total"
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/MotionSample.class", "Java", 31, 0, 0, 0, 0, 0, 31
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/RecordMotion.class", "Java", 46, 0, 0, 0, 0, 0, 46
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/SpeechRecGetName.class", "Java", 25, 0, 0, 0, 0, 0, 25
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/SpeechRecSample.class", "Java", 24, 0, 0, 0, 0, 0, 24
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/TextToSpeechSample.class", "Java", 14, 0, 0, 0, 0, 0, 14
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/package-info.class", "Java", 2, 0, 0, 0, 0, 0, 2
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotatest/MicTest.class", "Java", 16, 0, 0, 0, 0, 0, 16
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotatest/QRCodeTest.class", "Java", 26, 0, 0, 0, 0, 0, 26
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotatest/ReadPosTest.class", "Java", 30, 0, 0, 0, 0, 0, 30
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotatest/ServoSoundTest.class", "Java", 95, 0, 0, 0, 0, 0, 95
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotatest/SoundTest.class", "Java", 11, 0, 0, 0, 0, 0, 11
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotatest/StillTest.class", "Java", 20, 0, 0, 0, 0, 0, 20
